PLAYER,TEAM,GP,MIN/G,RAM,C-RAM,PSP,3PE,FGS,BMS,DSI,FG%,PTS/G,REB/G,AST/G,STL/G,BLK/G
Cameron Boozer,Nightrydas Elite (16U),5,29,1477,17.3,121,68,68,103,107,73.8%,27.8,13.2,3.2,0.8,2.8
Cooper Flagg,Maine United (16U),4,28,1152,13.6,109,74,67,83,100,58.3%,28.3,8.0,3.3,1.5,4.3
Cayden Boozer,Nightrydas Elite (16U),5,29,939,11.2,76,32,94,71,79,66.7%,12.8,6.6,9.0,1.4,0.2
Jaylen Harrell,Expressions (16U),5,28,916,10.9,100,101,61,74,69,54.2%,23.0,6.4,2.2,0.2,0.6
William Riley,UPlay (16U),4,31,872,10.4,104,76,68,64,54,65.5%,23.5,4.8,3.5,0.3,0.3
Shareef Jackson,NJ Scholars (16U),4,25,843,10.1,89,79,62,78,68,69.7%,14.8,6.3,2.3,0.5,0.3
Gregory Lawson,Indy Heat (16U),4,29,837,10.0,89,99,66,62,89,54.0%,18.5,4.5,2.8,1.3,0.0
Adlan Elamin,Team Takeover (16U),5,21,836,10.0,76,99,63,75,95,64.0%,9.6,4.6,2.2,1.0,0.6
Mike Jones,Mac Irvin Fire (16U),5,28,831,9.9,91,0,53,81,60,71.4%,17.0,7.8,1.4,0.0,0.4
Kedrick Simmons,Team Thad (16U),4,21,814,9.8,88,71,56,71,85,76.0%,12.8,4.5,1.5,0.8,0.8
Christian Jeffrey,NH Lightning (16U),4,24,795,9.5,73,48,85,66,75,56.4%,13.8,4.5,5.5,0.5,0.3
Preston Fowler,NH Lightning (16U),4,28,783,9.4,79,78,49,74,93,58.1%,14.5,6.0,1.0,0.8,1.0
Bryce Heard,Florida Rebels (16U),5,30,747,9.0,81,85,63,58,91,50.0%,17.8,3.6,2.2,1.4,0.4
Jayden Myers,NJ Scholars (16U),4,17,730,8.8,85,70,63,39,0,93.3%,8.8,0.8,2.3,0.0,0.0
Jaylen Cross,Team CP3 (16U),5,24,728,8.8,82,69,47,72,80,64.4%,14.2,4.8,1.0,0.4,0.4
Isaiah Henry,Team CP3 (16U),5,23,719,8.7,68,54,65,73,92,48.1%,13.6,7.4,2.6,1.0,0.4
DeWayne Brown,Florida Rebels (16U),5,24,717,8.7,71,0,62,73,88,64.1%,11.6,6.0,2.4,0.8,1.2
Zach Kinziger,Phenom University (16U),4,27,717,8.7,79,98,55,62,92,51.1%,15.5,3.0,1.8,1.0,0.3
Jalen Wilson,Howard Pulley/Team Tyus (16U),4,26,714,8.6,90,0,43,70,68,70.5%,16.8,5.3,0.8,1.0,0.0
Jalen Reece,Florida Rebels (16U),5,28,711,8.6,78,91,77,60,71,61.9%,12.6,3.4,5.0,1.2,0.0
Dominic Krzesowiak,The Family (16U),1,4,708,8.6,87,106,0,47,0,100.0%,3.0,1.0,0.0,0.0,0.0
Aleksandar Alston,Mac Irvin Fire (16U),5,23,700,8.5,82,108,51,50,37,55.3%,12.6,2.0,1.2,0.0,0.2
Cameron Ward,Team Durant (16U),4,27,698,8.4,86,64,52,76,74,57.4%,18.8,7.0,1.5,1.3,0.3
